year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,ed_option_type,nslp_status,charter,charter_num,charter_funding,irc,low_grade,high_grade,total_enrollment,frpm,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,calpads_fall1_cert,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
23,18,64089,0000000,Lassen,Big Valley Joint Unified,,Unified School District,,,,,,,,,,132,81,5,0,1,10,49,87,9,87,Y,,,,,,,,,1,18640890000000
23,18,64105,0000000,Lassen,Janesville Union Elementary,,Elementary School District,,,,,,,,,,315,130,6,0,1,0,75,131,1,131,Y,,,,,,,,,1,18641050000000
23,18,64113,0000000,Lassen,Johnstonville Elementary,,Elementary School District,,,,,,,,,,198,111,2,0,18,0,71,113,5,114,Y,,,,,,,,,1,18641130000000
23,18,64139,0000000,Lassen,Lassen Union High,,High School District,,,,,,,,,,864,285,25,0,26,0,248,307,26,318,Y,,,,,,,,,1,18641390000000
23,18,64162,0000000,Lassen,Ravendale-Termo Elementary,,Elementary School District,,,,,,,,,,9,2,0,0,0,0,7,9,1,9,Y,,,,,,,,,1,18641620000000
23,18,64170,0000000,Lassen,Richmond Elementary,,Elementary School District,,,,,,,,,,191,30,0,0,0,0,21,35,0,35,Y,,,,,,,,,1,18641700000000
23,18,64188,0000000,Lassen,Shaffer Union Elementary,,Elementary School District,,,,,,,,,,206,117,3,0,3,0,85,118,11,123,Y,,,,,,,,,1,18641880000000
23,18,64196,0135756,Lassen,Susanville Elementary,Thompson Peak Charter,Elementary School District,K-12 Schools (Public),Traditional,,Yes,2066,Directly funded,Y,K,12,143,87,0,0,3,0,59,87,0,87,Y,1,12,10,,1,1,14,12,1,18641960135756
23,18,64196,0000000,Lassen,Susanville Elementary,,Elementary School District,,,,,,,,,,1044,639,13,0,50,0,458,672,73,687,Y,,,,,,,,,1,18641960000000
23,18,64204,0000000,Lassen,Westwood Unified,,Unified School District,,,,,,,,,,174,114,0,0,14,0,64,130,1,130,Y,,,,,,,,,1,18642040000000
23,18,75036,6010763,Lassen,Fort Sage Unified,Long Valley,Unified School District,K-12 Schools (Public),Traditional,,Yes,2067,Directly funded,Y,K,12,231,145,3,0,3,0,89,146,2,146,Y,1,12,10,,1,1,14,12,1,18750366010763
23,18,75036,0121657,Lassen,Fort Sage Unified,Mt. Lassen Charter,Unified School District,K-12 Schools (Public),Traditional,,Yes,1185,Locally funded,N,K,12,147,94,0,0,3,0,68,95,2,95,Y,1,12,10,,2,0,14,12,1,18750360121657
23,18,75036,0000000,Lassen,Fort Sage Unified,,Unified School District,,,,,,,,,,99,74,0,0,4,0,54,83,1,83,Y,,,,,,,,,1,18750360000000
23,19,10199,0135368,Los Angeles,Los Angeles County Office of Education,Alma Fuerte Public,County Office of Education (COE),Elementary Schools (Public),Traditional,Provision 2,Yes,1859,Directly funded,Y,K,8,144,121,0,0,3,0,92,121,30,124,Y,1,6,10,5,1,1,14,8,1,19101990135368
23,19,10199,0136119,Los Angeles,Los Angeles County Office of Education,Animo City of Champions Charter High,County Office of Education (COE),High Schools (Public),Traditional,Provision 2,Yes,1874,Directly funded,Y,9,12,315,276,9,0,21,0,177,279,42,282,Y,1,7,10,5,1,1,9,12,1,19101990136119
23,19,10199,0109660,Los Angeles,Los Angeles County Office of Education,Aspire Antonio Maria Lugo Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,Provision 2,Yes,0694,Directly funded,Y,K,6,421,354,2,0,2,0,254,354,140,370,Y,1,6,10,5,1,1,14,6,1,19101990109660
23,19,10199,0112128,Los Angeles,Los Angeles County Office of Education,Aspire Ollin University Preparatory Academy,County Office of Education (COE),K-12 Schools (Public),Traditional,Provision 2,Yes,0693,Directly funded,Y,6,12,557,525,0,0,8,0,327,525,67,529,Y,1,12,10,5,1,1,6,12,1,19101990112128
