year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,ed_option_type,nslp_status,charter,charter_num,charter_funding,irc,low_grade,high_grade,total_enrollment,frpm,foster,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,calpads_fall1_cert,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
20,03,10033,0000000,Amador,Amador County Office of Education,,County Office of Education (COE),,,,,,,,,,208,110,5,6,0,80,116,10,120,Y,,,,,,,,,1,03100330000000
20,03,73981,0000000,Amador,Amador County Unified,,Unified School District,,,,,,,,,,3939,1493,19,72,0,1140,1541,120,1600,Y,,,,,,,,,1,03739810000000
20,04,10041,0000000,Butte,Butte County Office of Education,,County Office of Education (COE),,,,,,,,,,149,112,10,7,0,78,117,13,120,Y,,,,,,,,,1,04100410000000
20,04,10041,0114991,Butte,Butte County Office of Education,CORE Butte Charter,County Office of Education (COE),K-12 Schools (Public),Traditional,,Yes,0945,Directly funded,Y,K,12,841,354,7,56,0,205,354,1,354,Y,1,12,10,,1,1,14,12,1,04100410114991
20,04,10041,0134213,Butte,Butte County Office of Education,Come Back Butte Charter,County Office of Education (COE),High Schools (Public),Traditional,,Yes,1811,Locally funded,N,9,12,68,52,1,10,0,27,55,0,55,Y,1,7,10,,2,0,9,12,1,04100410134213
20,04,10041,0430090,Butte,Butte County Office of Education,Hearthstone School,County Office of Education (COE),K-12 Schools (Public),Traditional,,Yes,0110,Locally funded,N,K,12,197,150,3,7,0,123,157,5,158,Y,1,12,10,,2,0,14,12,1,04100410430090
20,04,61382,0000000,Butte,Bangor Union Elementary,,Elementary School District,,,,,,,,,,103,73,6,5,0,56,73,7,74,Y,,,,,,,,,1,04613820000000
20,04,61408,0000000,Butte,Biggs Unified,,Unified School District,,,,,,,,,,605,354,6,32,5,303,376,58,384,Y,,,,,,,,,1,04614080000000
20,04,61424,0000000,Butte,Chico Unified,,Unified School District,,,,,,,,,,12364,5929,93,324,15,4203,6017,703,6132,Y,,,,,,,,,1,04614240000000
20,04,61424,0110551,Butte,Chico Unified,Nord Country,Unified School District,Elementary Schools (Public),Traditional,,Yes,0729,Directly funded,Y,K,8,196,66,0,1,0,36,68,6,68,Y,1,6,10,,1,1,14,8,1,04614240110551
20,04,61424,0118042,Butte,Chico Unified,Forest Ranch Charter,Unified School District,Elementary Schools (Public),Traditional,Not Participating,Yes,1019,Directly funded,Y,K,8,125,69,3,1,0,39,70,2,70,Y,1,6,10,,1,1,14,8,1,04614240118042
20,04,61424,0120394,Butte,Chico Unified,Inspire School of Arts and Sciences,Unified School District,High Schools (Public),Traditional,Not Participating,Yes,1114,Directly funded,Y,9,12,423,127,7,18,0,124,174,1,174,Y,1,7,10,,1,1,9,12,1,04614240120394
