year,district_code,district_name
23,72009,Monson-Sultana Joint Union Elementary
23,70417,Montague Elementary
23,70813,Monte Rio Union Elementary
23,64808,Montebello Unified
23,69252,Montecito Union Elementary
23,10272,Monterey County Office of Education
23,66092,Monterey Peninsula Unified
23,70821,Montgomery Elementary
23,73940,Moorpark Unified
23,61747,Moraga Elementary
23,69575,Moreland
23,67124,Moreno Valley Unified
23,69583,Morgan Hill Unified
23,67777,Morongo Unified
23,61929,Mother Lode Union Elementary
23,69617,Mount Pleasant Elementary
23,69773,Mountain Elementary
23,68213,Mountain Empire Unified
23,61218,Mountain House Elementary
23,73700,Mountain Union Elementary
23,75028,Mountain Valley Unified
23,64816,Mountain View Elementary
23,67785,Mountain View Elementary
23,69591,Mountain View Whisman
23,69609,Mountain View-Los Altos Union High
23,67793,Mt. Baldy Joint Elementary
23,61754,Mt. Diablo Unified
23,70425,Mt. Shasta Union Elementary
23,63206,Mulberry Elementary
23,72504,Mupu Elementary
23,63685,Muroc Joint Unified
23,75200,Murrieta Valley Unified
23,10280,Napa County Office of Education
23,66266,Napa Valley Unified
23,68221,National Elementary
23,75283,Natomas Unified
23,67801,Needles Unified
23,66340,Nevada City Elementary
23,10298,Nevada County Office of Education
23,66357,Nevada Joint Union High
23,61242,New Haven Unified
23,68619,New Hope Elementary
23,68627,New Jerusalem Elementary
23,61234,Newark Unified
23,66852,Newcastle Elementary
23,64832,Newhall
23,73601,Newman-Crows Landing Unified
23,66597,Newport-Mesa Unified
23,65409,Nicasio
23,63693,Norris Elementary
23,67504,North County Joint Union Elementary
23,70078,North Cow Creek Elementary
23,73825,North Monterey County Unified
23,62687,Northern Humboldt Union High
23,64840,Norwalk-La Mirada Unified
23,65417,Novato Unified
23,71423,Nuestro Elementary
23,67157,Nuview Union
23,69625,Oak Grove Elementary
23,70839,Oak Grove Union Elementary
23,73874,Oak Park Unified
23,70086,Oak Run Elementary
23,72017,Oak Valley Union Elementary
23,68635,Oak View Union Elementary
23,75564,Oakdale Joint Unified
23,61259,Oakland Unified
23,61762,Oakley Union Elementary
23,66613,Ocean View
23,72512,Ocean View
23,73569,Oceanside Unified
23,72520,Ojai Unified
23,70847,Old Adobe Union
23,67819,Ontario-Montclair
23,62331,Orange Center
23,10306,Orange County Department of Education
23,66621,Orange Unified
23,69633,Orchard Elementary
23,69260,Orcutt Union Elementary
23,62968,Orick Elementary
23,61770,Orinda Union Elementary
23,75481,Orland Joint Unified
23,67827,Oro Grande
23,61507,Oroville City Elementary
23,61515,Oroville Union High
23,72025,Outside Creek Elementary
23,63297,Owens Valley Unified
23,72538,Oxnard
23,72546,Oxnard Union High
23,70094,Pacheco Union Elementary
23,69781,Pacific Elementary
23,66134,Pacific Grove Unified
23,62356,Pacific Union Elementary
23,62976,Pacific Union Elementary
23,68932,Pacifica
23,69799,Pajaro Valley Unified
23,61523,Palermo Union Elementary
23,67173,Palm Springs Unified
23,64857,Palmdale Elementary
23,69641,Palo Alto Unified
23,67181,Palo Verde Unified
23,72033,Palo Verde Union Elementary
23,64865,Palos Verdes Peninsula Unified
23,63362,Panama-Buena Vista Union
23,67520,Panoche Elementary
23,71209,Paradise Elementary
23,61531,Paradise Unified
23,64873,Paramount Unified
23,62364,Parlier Unified
23,64881,Pasadena Unified
23,75457,Paso Robles Joint Unified
23,71217,Patterson Joint Unified
23,62984,Peninsula Union
23,76877,Penn Valley Union Elementary
23,67199,Perris Elementary
23,67207,Perris Union High
23,70854,Petaluma City Elementary
23,70862,Petaluma Joint Union High
23,61275,Piedmont City Unified
23,61614,Pierce Joint Unified
23,62372,Pine Ridge Elementary
23,70870,Piner-Olivet Union Elementary
23,73379,Pioneer Union Elementary
23,61945,Pioneer Union Elementary
23,63990,Pioneer Union Elementary
23,61788,Pittsburg Unified
23,72041,Pixley Union Elementary
23,66647,Placentia-Yorba Linda Unified
23,10314,Placer County Office of Education
23,66886,Placer Hills Union Elementary
23,66894,Placer Union High
23,61952,Placerville Union Elementary
23,65813,Plainsburg Union Elementary
23,65821,Planada Elementary
23,62638,Plaza Elementary
23,71431,Pleasant Grove Joint Union
23,66373,Pleasant Ridge Union Elementary
23,72553,Pleasant Valley
23,68791,Pleasant Valley Joint Union Elementary
23,72058,Pleasant View Elementary
23,75101,Pleasanton Unified
23,10322,Plumas County Office of Education
23,72744,Plumas Lake Elementary
23,66969,Plumas Unified
23,65599,Point Arena Joint Union High
23,61960,Pollock Pines Elementary
23,64907,Pomona Unified
23,63719,Pond Union Elementary
23,66282,Pope Valley Union Elementary
23,75523,Porterville Unified
23,68981,Portola Valley Elementary
23,73866,Potter Valley Community Unified
23,68296,Poway Unified
23,62646,Princeton Joint Unified
23,62380,Raisin City Elementary
