year,district_code,district_name
21,61515,Oroville Union High
21,72025,Outside Creek Elementary
21,63297,Owens Valley Unified
21,72538,Oxnard
21,72546,Oxnard Union High
21,70094,Pacheco Union Elementary
21,69781,Pacific Elementary
21,66134,Pacific Grove Unified
21,62356,Pacific Union Elementary
21,62976,Pacific Union Elementary
21,68932,Pacifica
21,69799,Pajaro Valley Unified
21,61523,Palermo Union Elementary
21,67173,Palm Springs Unified
21,64857,Palmdale Elementary
21,69641,Palo Alto Unified
21,67181,Palo Verde Unified
21,72033,Palo Verde Union Elementary
21,64865,Palos Verdes Peninsula Unified
21,63362,Panama-Buena Vista Union
21,67520,Panoche Elementary
21,71209,Paradise Elementary
21,61531,Paradise Unified
21,64873,Paramount Unified
21,62364,Parlier Unified
21,64881,Pasadena Unified
21,75457,Paso Robles Joint Unified
21,71217,Patterson Joint Unified
21,62984,Peninsula Union
21,76877,Penn Valley Union Elementary
21,67199,Perris Elementary
21,67207,Perris Union High
21,70854,Petaluma City Elementary
21,70862,Petaluma Joint Union High
21,61275,Piedmont City Unified
21,61614,Pierce Joint Unified
21,62372,Pine Ridge Elementary
21,70870,Piner-Olivet Union Elementary
21,73379,Pioneer Union Elementary
21,61945,Pioneer Union Elementary
21,63990,Pioneer Union Elementary
21,61788,Pittsburg Unified
21,72041,Pixley Union Elementary
21,66647,Placentia-Yorba Linda Unified
21,10314,Placer County Office of Education
21,66886,Placer Hills Union Elementary
21,66894,Placer Union High
21,61952,Placerville Union Elementary
21,65813,Plainsburg Union Elementary
21,65821,Planada Elementary
21,62638,Plaza Elementary
21,71431,Pleasant Grove Joint Union
21,66373,Pleasant Ridge Union Elementary
21,72553,Pleasant Valley
21,68791,Pleasant Valley Joint Union Elementary
21,72058,Pleasant View Elementary
21,75101,Pleasanton Unified
21,10322,Plumas County Office of Education
21,72744,Plumas Lake Elementary
21,66969,Plumas Unified
21,65599,Point Arena Joint Union High
21,61960,Pollock Pines Elementary
21,64907,Pomona Unified
21,63719,Pond Union Elementary
21,66282,Pope Valley Union Elementary
21,75523,Porterville Unified
21,68981,Portola Valley Elementary
21,73866,Potter Valley Community Unified
21,68296,Poway Unified
21,62646,Princeton Joint Unified
21,62380,Raisin City Elementary
21,68304,Ramona City Unified
21,68312,Rancho Santa Fe Elementary
21,64162,Ravendale-Termo Elementary
21,68999,Ravenswood City Elementary
21,65276,Raymond-Knowles Union Elementary
21,71639,Red Bluff Joint Union High
21,71621,Red Bluff Union Elementary
21,70110,Redding Elementary
21,67843,Redlands Unified
21,75341,Redondo Beach Unified
21,69005,Redwood City Elementary
21,65425,Reed Union Elementary
21,71647,Reeds Creek Elementary
21,73932,Reef-Sunset Unified
21,61978,Rescue Union Elementary
21,67850,Rialto Unified
21,71654,Richfield Elementary
21,72082,Richgrove Elementary
21,63578,Richland Union Elementary
21,64170,Richmond Elementary
21,67868,Rim of the World Unified
21,70896,Rincon Valley Union Elementary
21,73544,Rio Bravo-Greeley Union Elementary
21,63008,Rio Dell Elementary
21,72561,Rio Elementary
21,68650,Ripon Unified
21,67413,River Delta Joint Unified
21,75556,Riverbank Unified
21,75408,Riverdale Joint Unified
21,10330,Riverside County Office of Education
21,67215,Riverside Unified
21,71233,Roberts Ferry Union Elementary
21,67421,Robla Elementary
21,72090,Rockford Elementary
21,75085,Rocklin Unified
21,67231,Romoland Elementary
21,63750,Rosedale Union Elementary
21,70904,Roseland
21,64931,Rosemead Elementary
21,66910,Roseville City Elementary
21,66928,Roseville Joint Union High
21,65433,Ross Elementary
21,75002,Ross Valley Elementary
21,63305,Round Valley Joint Elementary
21,65607,Round Valley Unified
21,73452,Rowland Unified
21,76471,SBC - High Tech High
21,76968,SBE - Academia Avance Charter
21,77032,SBE - Audeo Charter II
21,77172,SBE - Baypoint Preparatory Academy San Diego
21,77081,SBE - Celerity Himalia
21,77164,SBE - College Preparatory Middle
21,77099,SBE - Grossmont Secondary
21,77354,SBE - John Henry High
21,77131,SBE - KIPP Bayview Elementary
21,77149,SBE - KIPP Navigate College Prep
21,77180,SBE - Latitude 37.8 High
21,77289,SBE - Los Angeles College Prep Academy
21,76893,SBE - Magnolia Science Academy Santa Ana
21,75663,SBE - New West Charter
21,77214,SBE - Olive Grove Charter - Buellton
21,77206,SBE - Olive Grove Charter - Lompoc
21,77198,SBE - Olive Grove Charter - Orcutt/Santa Maria
21,77222,SBE - Olive Grove Charter - Santa Barbara
21,77115,SBE - Perseverance Preparatory
21,76992,SBE - Prepa Tec Los Angeles High
21,77024,SBE - Rocketship Futuro Academy
21,77065,SBE - Ross Valley Elementary
21,77107,SBE - Sweetwater Secondary
21,76927,SBE - The New School of San Francisco
21,75697,SBE - The School of Arts and Enterprise
21,77156,SBE - Vista Springs Charter
21,77248,SBE - Watsonville Prep
21,67439,Sacramento City Unified
21,10348,Sacramento County Office of Education
21,73635,Saddleback Valley Unified
21,66290,Saint Helena Unified
21,71266,Salida Union Elementary
21,66142,Salinas City Elementary
21,66159,Salinas Union High
21,66167,San Antonio Union Elementary
21,66175,San Ardo Union Elementary
21,10355,San Benito County Office of Education
21,67538,San Benito High
21,67876,San Bernardino City Unified
21,10363,San Bernardino County Office of Education
21,69013,San Bruno Park Elementary
21,69021,San Carlos Elementary
21,10371,San Diego County Office of Education
21,68338,San Diego Unified
21,68346,San Dieguito Union High
21,10389,San Francisco County Office of Education
21,68478,San Francisco Unified
21,75291,San Gabriel Unified
21,67249,San Jacinto Unified
21,10397,San Joaquin County Office of Education
21,69666,San Jose Unified
21,67447,San Juan Unified
21,61291,San Leandro Unified
21,61309,San Lorenzo Unified
21,69807,San Lorenzo Valley Unified
21,66183,San Lucas Union Elementary
21,68809,San Luis Coastal Unified
21,10405,San Luis Obispo County Office of Education
21,73791,San Marcos Unified
21,64964,San Marino Unified
21,10413,San Mateo County Office of Education
21,69047,San Mateo Union High
21,69039,San Mateo-Foster City
21,68825,San Miguel Joint Union
21,68353,San Pasqual Union Elementary
21,63214,San Pasqual Valley Unified
21,65458,San Rafael City Elementary
21,65466,San Rafael City High
21,61804,San Ramon Valley Unified
21,68379,San Ysidro Elementary
21,62414,Sanger Unified
21,66670,Santa Ana Unified
21,10421,Santa Barbara County Office of Education
21,76786,Santa Barbara Unified
21,10439,Santa Clara County Office of Education
21,72579,Santa Clara Elementary
21,69674,Santa Clara Unified
21,69815,Santa Cruz City Elementary
21,69823,Santa Cruz City High
21,10447,Santa Cruz County Office of Education
21,69310,Santa Maria Joint Union High
21,69120,Santa Maria-Bonita
21,64980,Santa Monica-Malibu Unified
21,76828,Santa Paula Unified
21,66191,Santa Rita Union Elementary
21,70912,Santa Rosa Elementary
21,70920,Santa Rosa High
21,69328,Santa Ynez Valley Union High
21,68361,Santee
21,69682,Saratoga Union Elementary
21,72108,Saucelito Elementary
21,64998,Saugus Union
21,65474,Sausalito Marin City
21,66696,Savanna Elementary
21,63024,Scotia Union Elementary
21,76455,Scott Valley Unified
21,75432,Scotts Valley Unified
21,70938,Sebastopol Union Elementary
21,63222,Seeley Union Elementary
21,70458,Seiad Elementary
21,62430,Selma Unified
21,63768,Semitropic Elementary
21,72116,Sequoia Union Elementary
21,69062,Sequoia Union High
21,64188,Shaffer Union Elementary
21,68833,Shandon Joint Unified
21,10454,Shasta County Office of Education
21,70128,Shasta Union Elementary
21,70136,Shasta Union High
21,71274,Shiloh Elementary
21,73361,Shoreline Unified
21,10462,Sierra County Office of Education
21,73742,Sierra Sands Unified
21,75275,Sierra Unified
21,70177,Sierra-Plumas Joint Unified
21,61986,Silver Fork Elementary
21,73890,Silver Valley Unified
21,72603,Simi Valley Unified
21,10470,Siskiyou County Office of Education
21,70466,Siskiyou Union High
21,65839,Snelling-Merced Falls Union Elementary
21,73957,Snowline Joint Unified
21,68387,Solana Beach Elementary
21,10488,Solano County Office of Education
21,75440,Soledad Unified
21,69336,Solvang Elementary
21,72611,Somis Union
21,10496,Sonoma County Office of Education
21,70953,Sonoma Valley Unified
21,72371,Sonora Elementary
21,72389,Sonora Union High
21,69849,Soquel Union Elementary
21,72397,Soulsbyville Elementary
21,68395,South Bay Union
21,63032,South Bay Union Elementary
21,63784,South Fork Union
21,66068,South Monterey County Joint Union High
21,65029,South Pasadena Unified
21,69070,South San Francisco Unified
21,65037,South Whittier Elementary
21,63040,Southern Humboldt Joint Unified
21,63776,Southern Kern Unified
21,73833,Southern Trinity Joint Unified
21,67553,Southside Elementary
21,68403,Spencer Valley Elementary
21,66225,Spreckels Union Elementary
21,72132,Springville Union Elementary
21,63792,Standard Elementary
21,10504,Stanislaus County Office of Education
21,71282,Stanislaus Union Elementary
21,68676,Stockton Unified
21,72140,Stone Corral Elementary
