year,county_code,district_code,school_code,charter_num,total_enrollment,frpm,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
21,10,62281,0000000,,632,520,6,0,13,20,352,522,237,543,,,,,,,,,1,10622810000000
21,10,62323,0000000,,152,145,0,0,0,22,102,148,51,148,,,,,,,,,1,10623230000000
21,10,62331,0137661,1492,1186,669,3,0,19,0,616,908,49,911,,12,10,,1,1,14,12,1,10623310137661
21,10,62331,0000000,,295,269,1,2,3,12,183,279,115,280,,,,,,,,,1,10623310000000
21,10,62356,0000000,,354,312,2,0,0,0,216,319,197,324,,,,,,,,,1,10623560000000
21,10,62364,0000000,,3416,2501,8,0,167,338,2257,3079,1696,3221,,,,,,,,,1,10623640000000
21,10,62372,0000000,,90,15,2,0,65,0,12,70,0,70,,,,,,,,,1,10623720000000
21,10,62380,0136499,1905,245,220,6,0,7,1,189,238,38,240,,12,10,,1,1,14,12,1,10623800136499
21,10,62380,0000000,,284,280,2,0,5,54,194,283,202,284,,,,,,,,,1,10623800000000
21,10,62414,1030766,0257,363,33,1,0,1,0,103,128,12,133,,12,10,,2,0,14,12,1,10624141030766
21,10,62414,6117865,0258,546,68,1,0,0,0,83,141,24,156,,6,10,7,2,0,14,8,1,10624146117865
21,10,62414,6117873,0283,625,172,0,0,0,1,238,373,99,409,,6,10,7,2,0,14,8,1,10624146117873
21,10,62414,0000000,,11091,3370,83,0,89,110,5067,7463,1720,7814,,,,,,,,,1,10624140000000
21,10,62430,0000000,,6050,5211,32,0,55,349,3568,5214,1709,5327,,,,,,,,,1,10624300000000
21,10,62513,0000000,,446,361,4,0,6,0,249,373,144,384,,,,,,,,,1,10625130000000
21,10,62539,6112387,0044,289,171,4,0,5,0,197,243,46,249,,12,10,,2,0,14,12,1,10625396112387
21,10,62539,0000000,,346,294,5,0,6,13,244,298,159,323,,,,,,,,,1,10625390000000
21,10,62547,0136523,1893,1083,651,15,0,18,0,663,927,102,937,,12,10,,1,1,14,12,1,10625470136523
21,10,62547,0135103,1841,2260,891,2,0,18,0,691,1056,36,1066,,12,10,,1,1,14,12,1,10625470135103
21,10,62547,0000000,,179,77,0,0,0,2,75,143,106,143,,,,,,,,,1,10625470000000
21,10,73809,0000000,,2178,1887,16,0,17,208,1118,1966,782,2012,,,,,,,,,1,10738090000000
