year,county_code,district_code,school_code,charter_num,total_enrollment,frpm,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,charter_dummy,school_type_num,ed_option_type_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
24,07,61796,0101477,0557,525,280,0,0,2,0,238,329,129,381,1,7,10,1,1,9,12,1,07617960101477
24,07,61796,0126805,1441,292,82,0,0,2,0,129,211,109,232,1,9,10,1,1,6,8,1,07617960126805
24,07,61796,0129643,1660,480,398,0,0,4,0,232,403,273,433,1,6,10,1,1,14,5,1,07617960129643
24,07,61796,0110973,0755,554,437,1,0,3,0,283,442,238,485,1,6,10,1,0,14,8,1,07617960110973
24,07,61796,0133637,1774,650,456,0,0,0,0,249,456,178,499,1,7,10,1,1,7,12,1,07617960133637
24,07,61796,0136903,1906,289,225,0,0,1,0,137,231,170,258,1,6,10,1,1,14,8,1,07617960136903
24,07,61796,0000000,,25573,16473,81,0,545,3,9851,16689,8102,18217,,,,,,,,1,07617960000000
24,07,61804,0000000,,29235,416,11,0,55,0,1720,2112,1379,3192,,,,,,,,1,07618040000000
24,07,61812,0000000,,3547,542,1,0,16,0,510,565,501,857,,,,,,,,1,07618120000000
24,07,77354,0132233,1741,285,213,0,0,0,0,122,224,110,244,1,8,10,1,0,9,12,1,07773540132233
24,08,10082,0830059,0358,337,227,2,1,23,0,181,229,12,231,1,12,10,2,0,14,12,1,08100820830059
24,08,10082,0000000,,31,28,3,0,8,0,21,28,2,28,,,,,,,,1,08100820000000
24,08,61820,0137729,0859,293,185,3,0,6,0,134,186,3,187,1,12,10,1,0,14,9,1,08618200137729
24,08,61820,0000000,,3426,2368,50,17,215,0,1825,2397,203,2425,,,,,,,,1,08618200000000
24,09,10090,0123521,0360,244,84,0,0,1,0,55,88,3,88,1,3,4,2,0,14,8,1,09100900123521
24,09,10090,0930123,0005,345,154,4,0,14,0,100,159,10,162,1,3,4,2,0,14,12,1,09100900930123
24,09,10090,0136036,1880,1489,256,0,0,2,0,187,266,52,301,1,12,10,1,1,14,12,1,09100900136036
24,09,10090,0930131,0053,19,18,18,0,0,0,5,18,1,19,1,11,7,2,0,9,12,1,09100900930131
24,09,10090,0000000,,200,49,1,0,0,0,44,51,1,55,,,,,,,,1,09100900000000
24,09,61838,0137919,1999,144,14,0,0,0,0,7,14,7,19,1,12,10,2,0,14,12,1,09618380137919
24,09,61838,0111724,0774,530,86,1,0,2,0,59,86,5,91,1,6,10,1,1,14,8,1,09618380111724
24,09,61838,0107227,0665,702,106,1,0,5,0,78,107,16,117,1,6,10,2,0,14,8,1,09618380107227
24,09,61838,0136200,1891,2161,699,1,0,34,0,573,768,49,786,1,12,10,1,1,14,12,1,09618380136200
24,09,61838,0139006,1964,3099,1362,2,0,32,0,1034,1612,262,1661,1,12,10,1,1,14,12,1,09618380139006
24,09,61838,0129965,1655,144,29,0,0,0,0,29,29,15,44,1,6,10,1,1,14,8,1,09618380129965
24,09,61838,0000000,,3409,664,12,2,29,0,475,671,127,741,,,,,,,,1,09618380000000
24,09,61846,0123125,1150,23,6,0,0,0,0,3,7,1,8,1,6,10,1,0,14,8,1,09618460123125
24,09,61846,0000000,,405,191,2,0,13,0,147,208,59,222,,,,,,,,1,09618460000000
24,09,61853,0930214,0366,100,19,0,0,1,0,14,19,1,20,1,7,10,2,0,9,12,1,09618530930214
24,09,61853,0000000,,6441,1376,16,3,115,0,1248,1405,155,1480,,,,,,,,1,09618530000000
24,09,61879,0000000,,435,139,2,0,15,0,147,170,11,176,,,,,,,,1,09618790000000
24,09,61887,0000000,,494,139,0,0,23,0,124,146,18,148,,,,,,,,1,09618870000000
24,09,61895,0000000,,8,0,0,0,0,0,1,1,0,1,,,,,,,,1,09618950000000
24,09,61903,0000000,,3590,1822,6,0,70,0,1363,1935,639,2061,,,,,,,,1,09619030000000
24,09,61911,0000000,,168,49,0,0,2,0,17,49,7,49,,,,,,,,1,09619110000000
24,09,61929,0000000,,861,398,12,0,60,0,342,451,109,482,,,,,,,,1,09619290000000
24,09,61945,0000000,,280,129,3,0,27,0,119,147,8,149,,,,,,,,1,09619450000000
