year,district_code,district_name
20,63990,Pioneer Union Elementary
20,61788,Pittsburg Unified
20,72041,Pixley Union Elementary
20,66647,Placentia-Yorba Linda Unified
20,10314,Placer County Office of Education
20,66886,Placer Hills Union Elementary
20,66894,Placer Union High
20,61952,Placerville Union Elementary
20,65813,Plainsburg Union Elementary
20,65821,Planada Elementary
20,62638,Plaza Elementary
20,71431,Pleasant Grove Joint Union
20,66373,Pleasant Ridge Union Elementary
20,72553,Pleasant Valley
20,68791,Pleasant Valley Joint Union Elementary
20,72058,Pleasant View Elementary
20,75101,Pleasanton Unified
20,10322,Plumas County Office of Education
20,72744,Plumas Lake Elementary
20,66969,Plumas Unified
20,65599,Point Arena Joint Union High
20,61960,Pollock Pines Elementary
20,64907,Pomona Unified
20,63719,Pond Union Elementary
20,66282,Pope Valley Union Elementary
20,75523,Porterville Unified
20,68981,Portola Valley Elementary
20,73866,Potter Valley Community Unified
20,68296,Poway Unified
20,62646,Princeton Joint Unified
20,62380,Raisin City Elementary
20,68304,Ramona City Unified
20,68312,Rancho Santa Fe Elementary
20,64162,Ravendale-Termo Elementary
20,68999,Ravenswood City Elementary
20,65276,Raymond-Knowles Union Elementary
20,71639,Red Bluff Joint Union High
20,71621,Red Bluff Union Elementary
20,70110,Redding Elementary
20,67843,Redlands Unified
20,75341,Redondo Beach Unified
20,69005,Redwood City Elementary
20,65425,Reed Union Elementary
20,71647,Reeds Creek Elementary
20,73932,Reef-Sunset Unified
20,61978,Rescue Union Elementary
20,67850,Rialto Unified
20,71654,Richfield Elementary
20,72082,Richgrove Elementary
20,63578,Richland Union Elementary
20,64170,Richmond Elementary
20,67868,Rim of the World Unified
20,70896,Rincon Valley Union Elementary
20,73544,Rio Bravo-Greeley Union Elementary
20,63008,Rio Dell Elementary
20,72561,Rio Elementary
20,68650,Ripon Unified
20,67413,River Delta Joint Unified
20,75556,Riverbank Unified
20,75408,Riverdale Joint Unified
20,10330,Riverside County Office of Education
20,67215,Riverside Unified
20,71233,Roberts Ferry Union Elementary
20,67421,Robla Elementary
20,72090,Rockford Elementary
